[SkinManager] Loaded skin from folder: /Volumes/MP 1/MoreMojo/Knobs/App Knobs folder/kit-07, knobImage=270x270, meterVUFrame=0x0, meterLEDStrip=0x0, filesFound=396, knobFrames=396, vuFrames=0, buttonFrames=2, switchFrames=2
[SkinManager] Loaded skin from folder: /Volumes/MP 1/MoreMojo/Knobs/VU-Meter-04, knobImage=270x270, meterVUFrame=500x500, meterLEDStrip=0x0, filesFound=137, knobFrames=396, vuFrames=137, buttonFrames=2, switchFrames=2
[SkinManager] Loaded skin from folder: /Volumes/MP 1/MoreMojo/Knobs/App Knobs folder/kit-07, knobImage=270x270, meterVUFrame=0x0, meterLEDStrip=0x0, filesFound=396, knobFrames=396, vuFrames=0, buttonFrames=2, switchFrames=2
[SkinManager] Loaded skin from folder: /Volumes/MP 1/MoreMojo/Knobs/VU-Meter-04, knobImage=270x270, meterVUFrame=500x500, meterLEDStrip=0x0, filesFound=137, knobFrames=396, vuFrames=137, buttonFrames=2, switchFrames=2
[resized] ledMeter1=0 0 0 0 ledMeter2=0 0 0 0 waveform=16 16 0 0 transport=28 16 0 0
[resized] ledMeter1=24 24 0 0 ledMeter2=24 24 0 0 waveform=148 16 604 180 transport=160 196 580 28
[SkinManager] Loaded skin from folder: /Volumes/MP 1/MoreMojo/NeptuneUI/03 Delivery, knobImage=241x241, meterVUFrame=397x33153, meterLEDStrip=0x0, filesFound=2112, knobFrames=257, vuFrames=0, buttonFrames=2, switchFrames=2
[resized] ledMeter1=0 0 0 0 ledMeter2=0 0 0 0 waveform=16 16 0 0 transport=28 16 0 0
[resized] ledMeter1=24 24 0 0 ledMeter2=24 24 0 0 waveform=148 16 604 180 transport=160 196 580 28
[SkinManager] Loaded skin from folder: /Volumes/MP 1/MoreMojo/NeptuneUI/03 Delivery/VST/Assets/Animation, knobImage=482x123874, meterVUFrame=397x33153, meterLEDStrip=0x0, filesFound=1038, knobFrames=257, vuFrames=0, buttonFrames=2, switchFrames=2
[resized] ledMeter1=0 0 0 0 ledMeter2=0 0 0 0 waveform=16 16 0 0 transport=28 16 0 0
[resized] ledMeter1=24 24 0 0 ledMeter2=24 24 0 0 waveform=148 16 604 180 transport=160 196 580 28
[SkinManager] Loaded skin from folder: /Volumes/MP 1/MoreMojo/NeptuneUI/03 Delivery/VST/Assets/Animation/stripes, knobImage=482x123874, meterVUFrame=397x33153, meterLEDStrip=0x0, filesFound=7, knobFrames=257, vuFrames=0, buttonFrames=2, switchFrames=2
[resized] ledMeter1=0 0 0 0 ledMeter2=0 0 0 0 waveform=16 16 0 0 transport=24 16 0 0
[resized] ledMeter1=20 20 0 0 ledMeter2=20 20 0 0 waveform=80 16 740 130 transport=88 146 724 24
[resized] ledMeter1=20 20 48 484 ledMeter2=832 20 48 484 waveform=80 16 742 130 transport=88 146 726 24
[resized] ledMeter1=20 20 48 492 ledMeter2=834 20 48 492 waveform=80 16 743 130 transport=88 146 727 24
[resized] ledMeter1=20 20 48 494 ledMeter2=835 20 48 494 waveform=80 16 745 130 transport=88 146 729 24
[resized] ledMeter1=20 20 48 496 ledMeter2=837 20 48 496 waveform=80 16 746 130 transport=88 146 730 24
[resized] ledMeter1=20 20 48 499 ledMeter2=838 20 48 499 waveform=80 16 749 130 transport=88 146 733 24
[resized] ledMeter1=20 20 48 503 ledMeter2=841 20 48 503 waveform=80 16 752 130 transport=88 146 736 24
[resized] ledMeter1=20 20 48 508 ledMeter2=844 20 48 508 waveform=80 16 755 130 transport=88 146 739 24
[resized] ledMeter1=20 20 48 512 ledMeter2=847 20 48 512 waveform=80 16 759 130 transport=88 146 743 24
[resized] ledMeter1=20 20 48 517 ledMeter2=851 20 48 517 waveform=80 16 762 130 transport=88 146 746 24
[resized] ledMeter1=20 20 48 524 ledMeter2=854 20 48 524 waveform=80 16 766 130 transport=88 146 750 24
[resized] ledMeter1=20 20 48 532 ledMeter2=858 20 48 532 waveform=80 16 769 130 transport=88 146 753 24
[resized] ledMeter1=20 20 48 541 ledMeter2=861 20 48 541 waveform=80 16 772 130 transport=88 146 756 24
[resized] ledMeter1=20 20 48 551 ledMeter2=864 20 48 551 waveform=80 16 774 130 transport=88 146 758 24
[resized] ledMeter1=20 20 48 564 ledMeter2=866 20 48 564 waveform=80 16 775 130 transport=88 146 759 24
[resized] ledMeter1=20 20 48 576 ledMeter2=867 20 48 576 waveform=80 16 776 130 transport=88 146 760 24
[resized] ledMeter1=20 20 48 588 ledMeter2=868 20 48 588 waveform=80 16 776 130 transport=88 146 760 24
[resized] ledMeter1=20 20 48 602 ledMeter2=868 20 48 602 waveform=80 16 775 130 transport=88 146 759 24
[resized] ledMeter1=20 20 48 615 ledMeter2=867 20 48 615 waveform=80 16 774 130 transport=88 146 758 24
[resized] ledMeter1=20 20 48 627 ledMeter2=866 20 48 627 waveform=80 16 774 130 transport=88 146 758 24
[resized] ledMeter1=20 20 48 640 ledMeter2=866 20 48 640 waveform=80 16 774 130 transport=88 146 758 24
[resized] ledMeter1=20 20 48 650 ledMeter2=866 20 48 650 waveform=80 16 774 130 transport=88 146 758 24
